geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037101110,101110,2023,1679,84091,84091
1400000US06037101122,101122,2023,1452,99583,99583
1400000US06037101220,101220,2023,1380,69676,69676
1400000US06037101221,101221,2023,1569,53798,53798
1400000US06037101222,101222,2023,1036,45662,45662
1400000US06037101300,101300,2023,1564,125675,125675
1400000US06037101400,101400,2023,1523,81154,81154
1400000US06037102103,102103,2023,821,72656,72656
1400000US06037102104,102104,2023,1418,107656,107656
1400000US06037102105,102105,2023,561,96167,96167
1400000US06037102107,102107,2023,1255,104500,104500
1400000US06037103101,103101,2023,1001,117857,117857
1400000US06037103102,103102,2023,1772,71754,71754
1400000US06037103201,103201,2023,1698,91213,91213
1400000US06037103202,103202,2023,697,117338,117338
1400000US06037103300,103300,2023,1441,148036,148036
1400000US06037103401,103401,2023,1084,100893,100893
1400000US06037103402,103402,2023,1563,106161,106161
1400000US06037104103,104103,2023,886,109688,109688
1400000US06037104105,104105,2023,1618,60519,60519
1400000US06037104108,104108,2023,1381,73344,73344
1400000US06037104124,104124,2023,1374,90469,90469
1400000US06037104201,104201,2023,890,101509,101509
1400000US06037104203,104203,2023,1164,67872,67872
1400000US06037104204,104204,2023,736,66167,66167
1400000US06037104310,104310,2023,930,106250,106250
1400000US06037104321,104321,2023,829,65521,65521
1400000US06037104322,104322,2023,460,88125,88125
1400000US06037104401,104401,2023,680,75234,75234
1400000US06037104403,104403,2023,582,98400,98400
1400000US06037104404,104404,2023,746,88125,88125
1400000US06037104500,104500,2023,643,77888,77888
1400000US06037104610,104610,2023,702,86220,86220
1400000US06037104620,104620,2023,703,88972,88972
1400000US06037104701,104701,2023,1001,53011,53011
1400000US06037104703,104703,2023,657,47981,47981
1400000US06037104704,104704,2023,1282,72784,72784
1400000US06037104821,104821,2023,771,81518,81518
1400000US06037104822,104822,2023,651,48750,48750
1400000US06037104823,104823,2023,710,81500,81500
1400000US06037104824,104824,2023,494,112375,112375
1400000US06037106010,106010,2023,972,144375,144375
1400000US06037106020,106020,2023,1342,123250,123250
1400000US06037106111,106111,2023,1452,115357,115357
1400000US06037106112,106112,2023,1479,100758,100758
1400000US06037106113,106113,2023,1038,126190,126190
1400000US06037106114,106114,2023,1888,72065,72065
1400000US06037106403,106403,2023,860,101346,101346
1400000US06037106405,106405,2023,1199,88651,88651
1400000US06037106406,106406,2023,2007,104598,104598
1400000US06037106407,106407,2023,909,29083,29083
1400000US06037106408,106408,2023,1071,58056,58056
1400000US06037106510,106510,2023,1751,121935,121935
1400000US06037106520,106520,2023,1483,87029,87029
1400000US06037106603,106603,2023,1216,142500,142500
1400000US06037106604,106604,2023,1281,66611,66611
1400000US06037106641,106641,2023,793,118387,118387
1400000US06037106642,106642,2023,1235,139145,139145
1400000US06037106643,106643,2023,1482,201250,201250
1400000US06037106645,106645,2023,1297,151389,151389
1400000US06037106646,106646,2023,1015,122734,122734
1400000US06037106648,106648,2023,1200,69125,69125
1400000US06037106649,106649,2023,676,104773,104773
1400000US06037107010,107010,2023,788,92788,92788
1400000US06037107020,107020,2023,1264,81429,81429
1400000US06037108101,108101,2023,785,151027,151027
1400000US06037108102,108102,2023,1258,131014,131014
1400000US06037108103,108103,2023,1049,147893,147893
1400000US06037108104,108104,2023,593,144167,144167
1400000US06037108202,108202,2023,3921,185852,185852
1400000US06037108203,108203,2023,1208,151250,151250
1400000US06037108204,108204,2023,658,177283,177283
1400000US06037109100,109100,2023,965,72396,72396
1400000US06037109200,109200,2023,1136,120016,120016
1400000US06037109300,109300,2023,982,121750,121750
1400000US06037109400,109400,2023,1170,99718,99718
1400000US06037109500,109500,2023,1029,83561,83561
1400000US06037109601,109601,2023,1356,119063,119063
1400000US06037109603,109603,2023,1268,83878,83878
1400000US06037109604,109604,2023,913,105015,105015
1400000US06037109700,109700,2023,1442,117104,117104
1400000US06037109800,109800,2023,1524,76681,76681
1400000US06037111100,111100,2023,993,109600,109600
1400000US06037111201,111201,2023,1107,114489,114489
1400000US06037111202,111202,2023,1956,109137,109137
