name,year,denom_total_pop,Pollution Burden Percentile,
Irwindale,2021,1711,94,
Pico-Union,2021,40930,55,
Glendora,2021,55094,27,
Industry,2021,22662,86,
Sylmar,2021,80445,40,
Torrance,2021,144869,48,
Alhambra,2021,84458,61,
Pico Rivera,2021,64052,73,
Rolling Hills Estates,2021,10254,12,
Signal Hill,2021,11719,72,
Hawthorne,2021,91662,51,
North Hills,2021,63595,48,
Hacienda Heights,2021,53409,53,
Harbor Gateway,2021,42270,87,
Lopez/Kagel Canyons,2021,1491,24,
Citrus,2021,12967,27,
Lake Balboa,2021,27039,63,
Granada Hills,2021,53299,27,
Palms,2021,39879,31,
Santa Monica,2021,89958,41,
Pacoima,2021,78751,72,
Toluca Lake,2021,9425,85,
Veterans Administration,2021,1225,83,
Valley Village,2021,25378,32,
Brentwood,2021,33635,27,
Pomona,2021,153428,63,
South Whittier,2021,55625,40,
Pasadena,2021,144170,37,
Winnetka,2021,54520,45,
Palmdale,2021,158719,5,
Porter Ranch,2021,25008,19,
South El Monte,2021,20170,96,
Tujunga Canyons,2021,7951,13,
Commerce,2021,13891,99,
San Fernando,2021,24527,47,
Sherman Oaks,2021,71933,41,
Bradbury,2021,1121,33,
Panorama City,2021,69537,52,
Northridge,2021,68685,52,
Culver City,2021,35723,70,
Lakewood,2021,80365,39,
Compton,2021,99731,74,
Vernon,2021,362,100,
San Dimas,2021,35427,50,
Inglewood,2021,111250,39,
Charter Oak,2021,9157,16,
Paramount,2021,55283,80,
San Pedro,2021,80691,37,
Lincoln Heights,2021,29692,88,
Boyle Heights,2021,94098,75,
Historic South-Central,2021,50712,64,
Avalon,2021,3653,9,
Westlake,2021,112346,64,
Mission Hills,2021,19300,36,
Quartz Hill,2021,9973,3,
Marina del Rey,2021,9608,89,
Bell,2021,35727,75,
Long Beach,2021,464664,50,
San Gabriel,2021,40771,66,
Downey,2021,112982,68,
Diamond Bar,2021,45425,24,
La Canada Flintridge,2021,21365,38,
West Covina,2021,108602,43,
Redondo Beach,2021,67216,22,
Vermont Square,2021,53005,48,
Santa Fe Springs,2021,22891,90,
Calabasas,2021,19179,27,
Altadena,2021,43046,15,
Bell Gardens,2021,42465,91,
Sun Valley,2021,69559,84,
Playa Vista,2021,14126,67,
Carson,2021,91766,70,
Hollywood Hills,2021,20841,46,
Lancaster,2021,156796,10,
Leona Valley,2021,2342,1,
Whittier,2021,82775,41,
Walnut,2021,29822,24,
Castaic Canyons,2021,46735,9,
Silver Lake,2021,30715,67,
Whittier Narrows,2021,7158,99,
Glendale,2021,200053,58,
West Whittier-Los Nietos,2021,23720,80,
Atwater Village,2021,12309,96,
East Whittier,2021,10182,15,
El Sereno,2021,41760,46,
Montecito Heights,2021,19399,45,
Florence,2021,54881,74,
Huntington Park,2021,60264,58,
Cheviot Hills,2021,7782,25,
Cypress Park,2021,9466,87,
Desert View Highlands,2021,1904,8,
Baldwin Park,2021,75320,76,
Montebello,2021,63054,73,
Leimert Park,2021,12259,25,
Santa Clarita,2021,177639,22,
Elysian Park,2021,2538,97,
Wilmington,2021,57350,65,
Jefferson Park,2021,26259,52,
Downtown,2021,57758,89,
Encino,2021,48196,63,
West Adams,2021,20298,82,
