geoid,geoid20,year,denom_renter_housing,rent_burden_count,rent_burden_pct,severe_rent_burden_count,severe_rent_burden_pct
1400000US06037101110,101110,2023,688,399,57.994186,216,31.39535
1400000US06037101122,101122,2023,250,217,86.800003,96,38.400002
1400000US06037101220,101220,2023,704,329,46.732956,154,21.875
1400000US06037101221,101221,2023,1140,793,69.561401,459,40.263157
1400000US06037101222,101222,2023,873,483,55.326462,416,47.651775
1400000US06037101300,101300,2023,273,118,43.223442,78,28.571428
1400000US06037101400,101400,2023,343,291,84.839653,117,34.110786
1400000US06037102103,102103,2023,299,269,89.966553,163,54.515049
1400000US06037102104,102104,2023,252,98,38.888889,51,20.238094
1400000US06037102105,102105,2023,208,98,47.115383,70,33.653847
1400000US06037102107,102107,2023,220,130,59.090908,28,12.727273
1400000US06037103101,103101,2023,75,68,90.666664,31,41.333332
1400000US06037103102,103102,2023,495,461,93.13131,166,33.535355
1400000US06037103201,103201,2023,1108,684,61.732853,383,34.566788
1400000US06037103202,103202,2023,45,0,0,0,0
1400000US06037103300,103300,2023,172,144,83.720932,55,31.976744
1400000US06037103401,103401,2023,209,127,60.765549,84,40.191387
1400000US06037103402,103402,2023,449,128,28.507795,112,24.944321
1400000US06037104103,104103,2023,130,102,78.46154,81,62.307693
1400000US06037104105,104105,2023,766,578,75.456917,347,45.300262
1400000US06037104108,104108,2023,707,398,56.294201,209,29.561527
1400000US06037104124,104124,2023,168,141,83.928574,72,42.857143
1400000US06037104201,104201,2023,204,143,70.098038,62,30.392157
1400000US06037104203,104203,2023,401,310,77.306732,198,49.37656
1400000US06037104204,104204,2023,219,117,53.424656,68,31.050228
1400000US06037104310,104310,2023,177,95,53.672318,31,17.514124
1400000US06037104321,104321,2023,420,263,62.619049,69,16.428572
1400000US06037104322,104322,2023,150,131,87.333336,36,24
1400000US06037104401,104401,2023,279,163,58.422939,78,27.956989
1400000US06037104403,104403,2023,162,122,75.30864,54,33.333332
1400000US06037104404,104404,2023,405,242,59.753086,206,50.864197
1400000US06037104500,104500,2023,152,130,85.526314,84,55.263157
1400000US06037104610,104610,2023,266,193,72.556389,52,19.548872
1400000US06037104620,104620,2023,235,155,65.957443,74,31.489361
1400000US06037104701,104701,2023,721,377,52.288486,189,26.213593
1400000US06037104703,104703,2023,351,182,51.851852,117,33.333332
1400000US06037104704,104704,2023,422,277,65.639809,120,28.43602
1400000US06037104821,104821,2023,445,206,46.292133,91,20.449438
1400000US06037104822,104822,2023,414,271,65.458939,137,33.091789
1400000US06037104823,104823,2023,126,116,92.063492,93,73.809525
1400000US06037104824,104824,2023,91,65,71.428574,46,50.54945
1400000US06037106010,106010,2023,144,124,86.111115,62,43.055557
1400000US06037106020,106020,2023,312,233,74.679489,178,57.051281
1400000US06037106111,106111,2023,25,0,0,0,0
1400000US06037106112,106112,2023,217,100,46.082951,38,17.51152
1400000US06037106113,106113,2023,106,77,72.64151,51,48.113209
1400000US06037106114,106114,2023,891,567,63.636364,380,42.648708
1400000US06037106403,106403,2023,136,121,88.970589,68,50
1400000US06037106405,106405,2023,375,162,43.200001,34,9.0666666
1400000US06037106406,106406,2023,392,236,60.204082,52,13.265306
1400000US06037106407,106407,2023,679,532,78.350517,275,40.500736
1400000US06037106408,106408,2023,770,493,64.02597,247,32.077923
1400000US06037106510,106510,2023,354,288,81.355934,179,50.564972
1400000US06037106520,106520,2023,380,261,68.684212,161,42.36842
1400000US06037106603,106603,2023,121,87,71.900826,73,60.330578
1400000US06037106604,106604,2023,755,483,63.973511,220,29.139072
1400000US06037106641,106641,2023,110,75,68.181816,58,52.727272
1400000US06037106642,106642,2023,104,95,91.346153,25,24.038462
1400000US06037106643,106643,2023,45,10,22.222221,0,0
1400000US06037106645,106645,2023,161,138,85.714287,108,67.080742
1400000US06037106646,106646,2023,146,103,70.547943,51,34.931507
1400000US06037106648,106648,2023,668,434,64.970062,210,31.437126
1400000US06037106649,106649,2023,60,55,91.666664,31,51.666668
1400000US06037107010,107010,2023,248,146,58.870968,9,3.6290324
1400000US06037107020,107020,2023,319,247,77.429466,198,62.068966
1400000US06037108101,108101,2023,33,7,21.212122,0,0
1400000US06037108102,108102,2023,135,93,68.888885,78,57.777779
1400000US06037108103,108103,2023,94,94,100,52,55.319149
1400000US06037108104,108104,2023,84,52,61.904762,5,5.9523811
1400000US06037108202,108202,2023,1004,767,76.394424,390,38.84462
1400000US06037108203,108203,2023,300,186,62,65,21.666666
1400000US06037108204,108204,2023,27,20,74.074074,14,51.851852
1400000US06037109100,109100,2023,246,162,65.853661,127,51.626015
1400000US06037109200,109200,2023,125,33,26.4,23,18.4
1400000US06037109300,109300,2023,97,67,69.072166,45,46.391754
1400000US06037109400,109400,2023,302,261,86.423843,114,37.748344
1400000US06037109500,109500,2023,183,120,65.573769,72,39.344261
1400000US06037109601,109601,2023,197,118,59.898476,84,42.639595
1400000US06037109603,109603,2023,513,301,58.674465,174,33.918129
1400000US06037109604,109604,2023,157,95,60.509556,60,38.21656
1400000US06037109700,109700,2023,396,241,60.858585,130,32.828281
1400000US06037109800,109800,2023,379,258,68.073875,188,49.604221
1400000US06037111100,111100,2023,333,161,48.348347,93,27.927927
1400000US06037111201,111201,2023,120,51,42.5,35,29.166666
1400000US06037111202,111202,2023,683,361,52.855053,217,31.771595
1400000US06037111204,111204,2023,118,52,44.067795,20,16.949152
1400000US06037111205,111205,2023,565,293,51.858406,153,27.079645
1400000US06037111206,111206,2023,102,69,67.647057,69,67.647057
1400000US06037111302,111302,2023,922,569,61.713665,347,37.635574
1400000US06037111303,111303,2023,604,444,73.509933,178,29.4702
1400000US06037111304,111304,2023,1160,768,66.206894,599,51.637932
1400000US06037111401,111401,2023,271,169,62.361622,89,32.841328
1400000US06037111402,111402,2023,1587,966,60.869564,373,23.503466
1400000US06037113101,113101,2023,92,79,85.869568,69,75
1400000US06037113102,113102,2023,19,19,100,0,0
1400000US06037113211,113211,2023,325,148,45.53846,75,23.076923
1400000US06037113212,113212,2023,369,273,73.983742,182,49.322495
1400000US06037113213,113213,2023,610,275,45.081966,158,25.90164
1400000US06037113231,113231,2023,95,95,100,32,33.684212
1400000US06037113232,113232,2023,167,98,58.682636,16,9.5808382
1400000US06037113234,113234,2023,778,381,48.971722,233,29.948586
1400000US06037113235,113235,2023,211,145,68.720383,77,36.492889
1400000US06037113237,113237,2023,397,161,40.554157,72,18.136021
1400000US06037113238,113238,2023,1114,739,66.337524,353,31.687613
1400000US06037113239,113239,2023,646,475,73.529411,275,42.56966
1400000US06037113301,113301,2023,844,574,68.009476,332,39.336494
