STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
"06","037","204200","06037204200","2042",Census Tract 2042,G5020,S,301202.00000000000,0.00000000000,"+34.0436195","-118.2050757",0.02351033741,0.00002940750
"06","037","204410","06037204410","2044.10",Census Tract 2044.10,G5020,S,296877.00000000000,0.00000000000,"+34.0461881","-118.2152707",0.02252679374,0.00002898594
"06","037","206053","06037206053","2060.53",Census Tract 2060.53,G5020,S,560000.00000000000,28207.00000000000,"+34.0437716","-118.2249549",0.03367291619,0.00005742978
"06","037","203601","06037203601","2036.01",Census Tract 2036.01,G5020,S,329988.00000000000,0.00000000000,"+34.0516727","-118.2082016",0.03975182992,0.00003222115
"06","037","206054","06037206054","2060.54",Census Tract 2060.54,G5020,S,397066.00000000000,21680.00000000000,"+34.0486658","-118.2254588",0.02867217684,0.00004088654
"06","037","203602","06037203602","2036.02",Census Tract 2036.02,G5020,S,223414.00000000000,0.00000000000,"+34.0508472","-118.2114522",0.02232607548,0.00002181453
"06","037","203200","06037203200","2032",Census Tract 2032,G5020,S,515982.00000000000,0.00000000000,"+34.0526028","-118.1968646",0.03158615921,0.00005038244
"06","037","203100","06037203100","2031",Census Tract 2031,G5020,S,657447.00000000000,0.00000000000,"+34.0590790","-118.1964766",0.03545417559,0.00006420018
"06","037","203300","06037203300","2033",Census Tract 2033,G5020,S,1489012.00000000000,2852.00000000000,"+34.0588723","-118.2077883",0.04792427334,0.00014568334
"06","037","203710","06037203710","2037.10",Census Tract 2037.10,G5020,S,282072.00000000000,0.00000000000,"+34.0498932","-118.2009322",0.02351835761,0.00002754182
"06","037","203720","06037203720","2037.20",Census Tract 2037.20,G5020,S,321042.00000000000,0.00000000000,"+34.0468935","-118.2031501",0.02449476995,0.00003134557
"06","037","203900","06037203900","2039",Census Tract 2039,G5020,S,448476.00000000000,0.00000000000,"+34.0333803","-118.1944807",0.03582388162,0.00004378150
"06","037","204110","06037204110","2041.10",Census Tract 2041.10,G5020,S,603786.00000000000,0.00000000000,"+34.0387870","-118.1987145",0.03093210388,0.00005894659
"06","037","204120","06037204120","2041.20",Census Tract 2041.20,G5020,S,263402.00000000000,0.00000000000,"+34.0338905","-118.2011680",0.02143176676,0.00002571404
"06","037","204300","06037204300","2043",Census Tract 2043,G5020,S,643484.00000000000,0.00000000000,"+34.0387491","-118.2078724",0.03312229470,0.00006282209
"06","037","204600","06037204600","2046",Census Tract 2046,G5020,S,564176.00000000000,18298.00000000000,"+34.0366414","-118.2158297",0.03566586003,0.00005686478
"06","037","204700","06037204700","2047",Census Tract 2047,G5020,S,1011060.00000000000,0.00000000000,"+34.0309820","-118.2124516",0.04010997118,0.00009869880
"06","037","204810","06037204810","2048.10",Census Tract 2048.10,G5020,S,770086.00000000000,0.00000000000,"+34.0285558","-118.2030003",0.03655032673,0.00007517335
"06","037","204820","06037204820","2048.20",Census Tract 2048.20,G5020,S,320144.00000000000,0.00000000000,"+34.0238153","-118.2058412",0.02592815906,0.00003124939
"06","037","204910","06037204910","2049.10",Census Tract 2049.10,G5020,S,518337.00000000000,0.00000000000,"+34.0248828","-118.1955701",0.02868562773,0.00005059630
"06","037","203800","06037203800","2038",Census Tract 2038,G5020,S,487391.00000000000,0.00000000000,"+34.0449856","-118.1955756",0.02811307469,0.00004758661
"06","037","204420","06037204420","2044.20",Census Tract 2044.20,G5020,S,302058.00000000000,0.00000000000,"+34.0445316","-118.2116198",0.02282616987,0.00002949112
"06","037","204920","06037204920","2049.20",Census Tract 2049.20,G5020,S,909972.00000000000,0.00000000000,"+34.0175004","-118.1974975",0.03866280661,0.00008881736
"06","037","205110","06037205110","2051.10",Census Tract 2051.10,G5020,S,286962.00000000000,0.00000000000,"+34.0245059","-118.2142985",0.02867687500,0.00002801083
"06","037","205120","06037205120","2051.20",Census Tract 2051.20,G5020,S,1466130.00000000000,0.00000000000,"+34.0187546","-118.2117956",0.06048823549,0.00014310217
"06","037","206050","06037206050","2060.50",Census Tract 2060.50,G5020,S,1643426.00000000000,141255.00000000000,"+34.0325743","-118.2243204",0.07343038446,0.00017422083
