geoid,geoid20,year,denom_total_pop,pollution_burden_score,pollution_burden_score_pctile
1400000US06037115103,115103,2021,3381,6.1300001,44
1400000US06037265301,265301,2021,11977,5.3800001,22
1400000US06037577504,577504,2021,1378,4.29,7
1400000US06037206020,206020,2021,8947,7.9699998,90
1400000US06037980013,980013,2021,0,0,1
1400000US06037578100,578100,2021,2409,4.48,8
1400000US06037980006,980006,2021,0,0,1
1400000US06037980005,980005,2021,0,0,1
1400000US06037980004,980004,2021,0,0,1
1400000US06037901003,901003,2021,4895,3.49,3
1400000US06037980030,980030,2021,0,0,1
1400000US06037980034,980034,2021,9,8.3100004,93
1400000US06037980010,980010,2021,95,8.8500004,98
1400000US06037574602,574602,2021,1291,5.5900002,27
1400000US06037980033,980033,2021,16,8.54,96
1400000US06037980020,980020,2021,0,0,1
1400000US06037222700,222700,2021,4115,5.9499998,38
1400000US06037401901,401901,2021,3945,6.7399998,63
1400000US06037980008,980008,2021,68,6.9299998,69
1400000US06037920200,920200,2021,5393,4.8000002,12
1400000US06037980012,980012,2021,31,5.54,26
1400000US06037207400,207400,2021,1539,9.7200003,100
1400000US06037980002,980002,2021,0,0,1
1400000US06037224702,224702,2021,3881,6.0599999,41
1400000US06037920050,920050,2021,1280,2.5899999,1
1400000US06037980001,980001,2021,0,0,1
1400000US06037980011,980011,2021,93,8.3699999,94
1400000US06037430200,430200,2021,1026,5.7600002,32
1400000US06037980028,980028,2021,0,0,1
1400000US06037980014,980014,2021,9,8.7700005,97
1400000US06037265303,265303,2021,5156,4.3699999,7
1400000US06037980007,980007,2021,0,0,1
1400000US06037980003,980003,2021,0,0,1
1400000US06037670405,670405,2021,2864,3.78,4
1400000US06037577604,577604,2021,1367,7.0999999,73
1400000US06037980026,980026,2021,26,4.02,5
1400000US06037265304,265304,2021,2878,4.6199999,10
1400000US06037901210,901210,2021,1631,2.9000001,1
1400000US06037980009,980009,2021,5,7.9899998,90
1400000US06037670500,670500,2021,1513,3.9000001,5
1400000US06037980024,980024,2021,223,7.5,83
1400000US06037224701,224701,2021,2311,6.0599999,41
1400000US06037980023,980023,2021,0,0,1
1400000US06037402404,402404,2021,1819,8.4300003,95
1400000US06037980031,980031,2021,1236,8.3900003,94
1400000US06037577501,577501,2021,3370,5.23,19
1400000US06037980017,980017,2021,1187,7.6799998,85
1400000US06037460401,460401,2021,1171,6.0500002,41
1400000US06037620001,620001,2021,4251,6.8600001,67
1400000US06037574901,574901,2021,3697,5.1799998,18
1400000US06037480500,480500,2021,5108,6.3800001,52
1400000US06037262802,262802,2021,3424,4.8400002,12
1400000US06037191902,191902,2021,2788,7.5100002,83
1400000US06037463500,463500,2021,5982,6.2199998,46
1400000US06037480703,480703,2021,3612,5.7399998,32
1400000US06037108104,108104,2021,1836,3.8199999,4
1400000US06037106603,106603,2021,2126,5.5700002,27
1400000US06037462600,462600,2021,2152,4.0500002,5
1400000US06037135201,135201,2021,2788,5.25,19
1400000US06037460502,460502,2021,4277,6.3099999,50
1400000US06037221900,221900,2021,4248,5.8800001,36
